rank,ranking-institution-title,location,Overall scores,Research Quality Score,Industry Score,International Outlook,Research Environment Score,Teaching Score
1,Massachusetts Institute of Technology,United States,94.8,92.2,99.9,89.6,96.5,96
2,Stanford University,United States,93.4,91.9,100,83.5,91.8,98.2
3,Harvard University,United States,92.4,95.2,69.8,82.1,93.4,95
4,"University of California, Berkeley",United States,91.9,95.2,90.6,83.5,92.7,91.1
5,University of Cambridge,United Kingdom,91.7,86.6,76.7,95.4,94.6,93.8
5,University of Oxford,United Kingdom,91.7,81.7,89.4,94.5,97.4,93.5
7,The University of Chicago,United States,91.3,95.8,67.6,79,93.5,91.9
8,Tsinghua University,China,90,82.5,99.5,77.7,95.2,93.2
9,Yale University,United States,89.5,86.9,67.8,85.1,89.3,96.1
10,Peking University,China,89.2,74.5,95.4,94,91.8,96.3
11,London School of Economics and Political Science,United Kingdom,87.8,81.9,68.1,95.7,94.5,85.9
12,University of Pennsylvania,United States,87.5,86.9,71.4,74.9,89.2,92.2
13,Northwestern University,United States,86.8,86.2,77.2,79.8,89.4,88
14,Columbia University,United States,86.5,79.2,77.3,87.7,87.8,92
15,National University of Singapore,Singapore,85.7,79.7,97.9,80.4,95.9,79.9
16,ETH Zurich,Switzerland,83.5,87.1,99.5,96.4,83.1,75.2
17,New York University,United States,83.3,75.7,68.6,89.3,90.6,82.2
18,Duke University,United States,82.8,80.2,100,83,87.5,77.7
19,"University of California, Los Angeles",United States,81.2,79.2,67.5,75.8,86.4,80.9
20,Cornell University,United States,81.1,80.7,67.5,78.2,84.1,81
21,University of Michigan-Ann Arbor,United States,80.8,81.1,74.7,73.1,85.6,78.7
22,Erasmus University Rotterdam,Netherlands,78.3,81.7,75.7,89,85.1,65.5
23,UCL,United Kingdom,76.7,80.2,67.4,94.5,80.3,66
24,University of Toronto,Canada,75,77.3,67.9,92,76.8,67.2
25,Shanghai Jiao Tong University,China,74.7,75.6,99.8,86.8,70.5,71.4
26,University of Warwick,United Kingdom,73.7,83.5,66,95.9,65.9,68.1
27,Technical University of Munich,Germany,73.2,79.8,99.3,80.3,71.7,63.8
28,Copenhagen Business School,Denmark,72,86.4,53.5,83.8,71.1,60.2
28,The University of Tokyo,Japan,72,50.2,100,47,85.6,79.4
30,The Hong Kong University of Science and Technology,Hong Kong,71.4,78.5,100,89.8,70.3,57.4
31,University of Manchester,United Kingdom,71.3,80.4,68.1,95.6,65.8,62.7
32,Carnegie Mellon University,United States,71,84.8,68.8,88,68.5,57.4
33,"University of California, San Diego",United States,70.6,85.1,100,75.6,64.9,59.4
34,University of Minnesota,United States,70.2,77.3,82,56.5,72.8,64.3
35,University of British Columbia,Canada,69.9,77,71.4,95.6,69.1,56.9
36,LMU Munich,Germany,69,66.4,97.1,72.8,72.7,62.7
37,University of Mannheim,Germany,68.6,71.4,93,63.4,71.6,61.6
38,"Nanyang Technological University, Singapore",Singapore,68.4,77.4,100,86.8,63.3,56.6
39,University of Hong Kong,Hong Kong,68.3,80.1,72.5,97.6,65.1,52.6
40,Tilburg University,Netherlands,68.1,72.3,99.7,81.4,67.7,57.1
41,University of Melbourne,Australia,67.8,74.7,79.2,93.9,65.5,55.1
42,Fudan University,China,67.1,74.1,88,77.1,55.1,67.9
42,Zhejiang University,China,67.1,82.4,94.8,87,53,59.5
42,University of Zurich,Switzerland,67.1,80,91,90.2,62.2,51.5
45,Hong Kong Polytechnic University,Hong Kong,67,92.9,70.9,95.5,55.7,48.5
46,Monash University,Australia,66.4,78.4,73.9,92.6,55.3,59.2
47,Yonsei University (Seoul campus),South Korea,64.6,77.4,75.8,66.3,57.1,59.9
48,City University of Hong Kong,Hong Kong,64.5,76.2,100,99,54.1,51
48,Dartmouth College,United States,64.5,93.7,67.5,60.6,41,65.7
50,Michigan State University,United States,64.2,79.8,67.3,71.6,60.9,52.4
51,University of Southern California,United States,63.9,86.7,69.2,76.6,53.8,51.3
52,University of Groningen,Netherlands,63.5,79.9,92.1,84.8,58.8,45
53,University of Bonn,Germany,63.2,63.3,84.9,81.2,64.8,53.3
54,University of Washington,United States,63,78.7,67.5,78.6,57.3,50.7
55,Australian National University,Australia,62.9,70.7,67.3,92.4,56.7,53.5
56,University of Edinburgh,United Kingdom,62.8,75,67.9,94.7,48.6,57.3
57,Chinese University of Hong Kong,Hong Kong,62.6,72.1,69.7,91.8,60.7,47.2
57,KU Leuven,Belgium,62.6,78.8,100,73.2,58.1,45.7
59,University of St Gallen,Switzerland,62.1,83,84.9,92.2,39.9,56
59,University of Texas at Austin,United States,62.1,72.6,78.6,47,63.3,54.6
61,University of Illinois at Urbana-Champaign,United States,61.5,74.5,79.2,67.8,57,51.4
62,Lomonosov Moscow State University,,61.4,43.3,76.6,67.7,57.5,76.5
63,"University of California, Davis",United States,61.2,84.3,76.2,84.6,52,42.9
64,King’s College London,United Kingdom,61.1,76,31.1,93.9,53.7,50.7
65,Boston University,United States,60.9,91.3,63.5,81.4,44.1,47
66,Indiana University,United States,60.8,81,79.8,67.7,53,47.8
67,University of Wisconsin-Madison,United States,60.5,62.3,70.7,62.9,67,50.1
68,Purdue University West Lafayette,United States,60.2,71.2,69.6,75.8,58.1,47.7
68,University of Virginia (Main campus),United States,60.2,83.4,67.3,63.6,38.9,61.2
70,University of Amsterdam,Netherlands,60,75,71.4,90.9,47.3,50.3
70,The University of Sydney,Australia,60,73.9,78.8,89.2,52.1,45.5
72,Johns Hopkins University,United States,59.8,68,68.1,88.9,53.1,50.4
72,Université de Montréal,Canada,59.8,69.9,93.4,85.7,51.9,47.8
74,The University of Queensland,Australia,59.7,83.8,77,94.1,53.1,34.3
75,University of Nottingham,United Kingdom,59.6,80.5,64.4,96.3,45.5,45.6
76,University of North Carolina at Chapel Hill,United States,59.4,82.4,67.9,55.2,53,47.1
76,University of Toulouse,France,59.4,63.2,72.9,84.8,61.4,45.1
78,Kyoto University,Japan,59.2,48.6,99.7,59.3,61.3,60.4
79,University of Reading,United Kingdom,59.1,85.2,75.8,94.6,42,42.6
80,University of Massachusetts,United States,59,72.7,66.6,73.2,46.7,55.2
80,University of Navarra,Spain,59,73.8,26.1,94.5,38,62.5
82,Lund University,Sweden,58.8,86.1,92.4,66.2,51,37.8
83,Maastricht University,Netherlands,58.7,69.2,93.8,96.3,45,48.5
84,Aalto University,Finland,58.6,79.5,82.6,66.9,52.5,41.9
85,"University of Maryland, College Park",United States,58.5,81.2,67.5,52.2,53.2,46.1
86,Western University,Canada,58.2,75.5,90.7,90.9,37,52.1
87,HSE University,,58.1,54.7,69.7,49.2,59,61.2
88,Seoul National University,South Korea,57.7,55.7,100,47.2,59,55.4
89,McGill University,Canada,57.4,67.9,75.7,94.8,47.7,45.5
90,University of Surrey,United Kingdom,57,95.4,46.5,98.1,37,35.4
91,Penn State (Main campus),United States,56.9,72.1,67.6,62.9,53,45.1
91,Trinity College Dublin,Ireland,56.9,90,67.2,88.3,37.8,38.8
93,Pompeu Fabra University,Spain,56.8,64.6,63.5,75,52.9,48.1
94,University of Florida,United States,56.6,79.6,68.8,51.5,56.2,38.1
95,Texas A&M University,United States,56.4,78.6,69,57.9,57.9,34.3
96,"City, University of London",United Kingdom,56,73.3,64.4,97.5,42.3,42.5
97,Nanjing University,China,55.9,79.4,90,71.5,34.9,49.4
97,UNSW Sydney,Australia,55.9,73.5,93.7,93.1,46.6,35.1
98,Lancaster University,United Kingdom,55.8,78.5,67.1,96.8,43.4,36.2
99,Ohio State University (Main campus),United States,55.8,77.4,69.9,71.3,53.6,34
100,Aarhus University,Denmark,52.3–55.6,68,93.6,69.7,43.8,37.8
101,Abu Dhabi University,United Arab Emirates,52.3–55.6,92.8,36.3,95.2,25.8,40.8
102,University of Alberta,Canada,52.3–55.6,74.8,99.8,95.5,43,32.9
103,Arizona State University (Tempe),United States,52.3–55.6,85.2,67.7,72.3,46.8,34
104,University of Birmingham,United Kingdom,52.3–55.6,86.6,73.9,93.9,38.1,31.1
105,University of Bologna,Italy,52.3–55.6,64.3,68.1,60.9,45.7,49.7
106,Boston College,United States,52.3–55.6,87.8,64.9,66.8,32.1,41
107,Durham University,United Kingdom,52.3–55.6,82.1,40.6,98,35.9,35.7
108,George Washington University,United States,52.3–55.6,84.1,67.5,75.4,35.4,40.5
109,University of Glasgow,United Kingdom,52.3–55.6,71.3,58.3,93.8,40,41.9
110,University of Leeds,United Kingdom,52.3–55.6,78.6,67.1,95.5,39.4,35.7
111,National Taiwan University (NTU),Taiwan,52.3–55.6,73.2,100,59.4,47.7,41.1
112,Politecnico di Milano,Italy,52.3–55.6,86.1,95,50.3,46.7,35.4
113,Queensland University of Technology,Australia,52.3–55.6,82.6,78.3,82.6,40.1,27.5
114,Universitat Ramon Llull,Spain,52.3–55.6,82.8,25.5,86.7,32,47.9
115,University of São Paulo,Brazil,52.3–55.6,51,61.5,30.7,58,53.7
116,University of Science and Technology of China,China,52.3–55.6,85,89,74.6,34.8,33.1
117,Sichuan University,China,52.3–55.6,76.9,94.8,63.1,41.9,41
118,University of Southampton,United Kingdom,52.3–55.6,92,67.5,98.1,28.6,33.7
119,Sungkyunkwan University (SKKU),South Korea,52.3–55.6,55,99,76.1,46.7,49.6
120,University of Sussex,United Kingdom,52.3–55.6,91.2,66.1,96,38.7,24.5
